frame,score
0,3-3
100,3-3
200,3-3
300,3-3
400,3-3
500,3-3
600,3-3
700,3-3
800,3-3
900,3-3
1000,3-3
1100,3-3
1200,3-3
1300,3-3
1400,3-3
1500,3-3
1600,3-3
1700,3-3
1800,3-4
1900,3-4
2000,3-4
2100,3-4
2200,3-4
2300,3-4
2400,3-4
2500,3-4
2600,3-4
2700,4-4
2800,4-4
2900,4-4
3000,4-4
3100,4-4
3200,4-4
3300,4-4
3400,4-4
3500,4-4
3600,4-4
3700,4-4
3800,4-4
3900,4-4
4000,4-5
4100,4-5
4200,4-5
4300,4-5
4400,4-5
4500,4-5
4600,4-5
4700,4-5
4800,4-5
4900,4-5
5000,4-5
5100,4-5
5200,4-5
5300,4-5
5400,4-6
5500,4-6
5600,4-6
5700,4-6
5800,4-6
5900,4-6
6000,4-6
6100,4-6
6200,4-6
6300,4-6
6400,4-6
6500,4-6
6600,4-6
6700,4-6
6800,4-6
6900,4-6
7000,4-6
7100,4-6
7200,5-6
7300,5-6
7400,5-6
7500,5-6
7600,5-6
7700,5-6
7800,5-6
7900,5-6
8000,5-6
8100,5-6
8200,5-6
8300,5-6
8400,5-6
8500,5-6
8600,5-6
8700,5-6
8800,5-7
8900,5-7
9000,5-7
9100,5-7
9200,5-7
9300,5-7
9400,5-7
9500,5-7
9600,5-7
9700,5-7
9800,5-7
9900,5-7
10000,5-7
10100,5-7
10200,5-7
10300,5-7
10400,5-7
10500,5-7
10600,5-7
10700,5-7
10800,5-7
10900,5-7
11000,5-7
11100,5-7
11200,5-7
11300,5-7
11400,5-7
11500,5-7
11600,5-7
11700,5-7
11800,5-7
11900,5-7
12000,5-7
12100,5-7
12200,6-7
12300,6-7
12400,6-7
12500,6-7
12600,6-7
12700,6-7
12800,6-7
12900,6-7
13000,6-7
13100,6-7
13200,6-7
13300,6-7
13400,6-7
13500,6-8
13600,6-8
13700,6-8
13800,6-8
13900,6-8
14000,6-8
14100,6-8
14200,6-8
14300,6-8
14400,6-8
14500,6-8
14600,6-8
14700,6-8
14800,6-8
14900,6-8
15000,6-8
15100,6-8
15200,7-8
15300,7-8
15400,7-8
15500,7-8
15600,7-8
15700,7-8
15800,7-8
15900,7-8
16000,7-8
16100,7-8
16200,7-8
16300,7-8
16400,7-8
16500,7-8
16600,7-8
16700,7-9
16800,7-9
16900,7-9
17000,7-9
17100,7-9
17200,7-9
17300,7-9
17400,7-9
17500,7-9
17600,7-9
17700,7-9
17800,7-9
17900,7-9
18000,7-9
18100,7-9
18200,7-9
18300,7-9
18400,8-9
18500,8-9
18600,8-9
18700,8-9
18800,8-9
18900,8-9
19000,8-9
19100,8-9
19200,8-9
19300,8-9
19400,8-9
19500,8-9
19600,8-9
19700,8-9
19800,8-9
19900,9-9
20000,9-9
20100,9-9
20200,9-9
20300,9-9
20400,9-9
20500,9-9
20600,9-9
20700,9-9
20800,9-9
20900,9-9
21000,9-9
21100,9-9
21200,9-9
21300,9-9
21400,9-9
21500,9-9
21600,9-9
21700,9-9
21800,9-9
21900,9-9
22000,9-9
22100,9-9
22200,9-9
22300,9-9
22400,9-9
22500,9-9
