frame,score
0,9-6
1,9-6
2,9-6
3,9-6
4,9-6
5,9-6
6,9-6
7,9-6
8,9-6
9,9-6
10,9-6
11,9-6
12,9-6
13,9-6
14,9-6
15,9-6
16,9-6
17,9-6
18,9-6
19,9-6
20,9-6
21,9-6
22,9-6
23,9-6
24,9-6
25,9-6
26,9-6
27,9-6
28,9-6
29,9-6
30,9-6
31,9-6
32,9-6
33,9-6
34,9-6
35,9-6
36,9-6
37,9-6
38,9-6
39,9-6
40,9-6
41,9-6
42,9-6
43,9-6
44,9-6
45,9-6
46,9-6
47,9-6
48,9-6
49,9-6
50,9-6
51,9-6
52,9-6
53,9-6
54,9-6
55,9-6
56,9-6
57,9-6
58,9-6
59,9-6
60,9-6
61,9-6
62,9-6
63,9-6
64,9-6
65,9-6
66,9-6
67,9-6
68,9-6
69,9-6
70,9-6
71,9-6
72,9-6
73,9-6
74,9-6
75,9-6
76,9-6
77,9-6
78,9-6
79,9-6
80,9-6
81,9-6
82,9-6
83,9-6
84,9-6
85,9-6
86,9-6
87,9-6
88,9-6
89,9-6
90,9-6
91,9-6
92,9-6
93,9-6
94,9-6
95,9-6
96,9-6
97,9-6
98,9-6
99,9-6
100,9-6
101,9-6
102,9-6
103,9-6
104,9-6
105,9-6
106,9-6
107,9-6
108,9-6
109,9-6
110,9-6
111,9-6
112,9-6
113,9-6
114,9-6
115,9-6
116,9-6
117,9-6
118,9-6
119,9-6
120,9-6
121,9-6
122,9-6
123,9-6
124,9-6
125,9-6
126,9-6
127,9-6
128,9-6
129,9-6
130,9-6
131,9-6
132,9-6
133,9-6
134,9-6
135,9-6
136,9-6
137,9-6
138,9-6
139,9-6
140,9-6
141,9-6
142,9-6
143,9-6
144,9-6
145,9-6
146,9-6
147,9-6
148,9-6
149,9-6
150,9-6
151,9-6
152,9-6
153,9-6
154,9-6
155,9-6
156,9-6
157,9-6
158,9-6
159,9-6
160,9-6
161,9-6
162,9-6
163,9-6
164,9-6
165,9-6
166,9-6
167,9-6
168,9-6
169,9-6
170,9-6
171,9-6
172,9-6
173,9-6
174,9-6
175,9-6
176,9-6
177,9-6
178,9-6
179,9-6
180,9-6
181,9-6
182,9-6
183,9-6
184,9-6
185,9-6
186,9-6
187,9-6
188,9-6
189,9-6
190,9-6
191,9-6
192,9-6
193,9-6
194,9-6
195,9-6
196,9-6
197,9-6
198,9-6
199,9-6
200,9-6
201,9-6
202,9-6
203,9-6
204,9-6
205,9-6
206,9-6
207,9-6
208,9-6
209,9-6
210,9-6
211,9-6
212,9-6
213,9-6
214,9-6
215,9-6
216,9-6
217,9-6
218,9-6
219,9-6
220,9-6
221,9-6
222,9-6
223,9-6
224,9-6
225,9-6
226,9-6
227,9-6
228,9-6
229,9-6
230,9-6
231,9-6
232,9-6
233,9-6
234,9-6
235,9-6
236,9-6
237,9-6
238,9-6
239,9-6
240,9-6
241,9-6
242,9-6
243,9-6
244,9-6
245,9-6
246,9-6
247,9-6
248,9-6
249,9-6
250,9-6
251,9-6
252,9-6
253,9-6
254,9-6
255,9-6
256,9-6
257,9-6
258,9-6
