frame,score
149900,5-3
149901,5-3
149902,5-3
149903,5-3
149904,5-3
149905,5-3
149906,5-3
149907,5-3
149908,5-3
149909,5-3
149910,5-3
149911,5-3
149912,5-3
149913,5-3
149914,5-3
149915,5-3
149916,5-3
149917,5-3
149918,5-3
149919,5-3
149920,5-3
149921,5-3
149922,5-3
149923,5-3
149924,5-3
149925,5-3
149926,5-3
149927,5-3
149928,5-3
149929,5-3
149930,5-3
149931,5-3
149932,5-3
149933,5-3
149934,5-3
149935,5-3
149936,5-3
149937,5-3
149938,5-3
149939,5-3
149940,5-3
149941,5-3
149942,5-3
149943,5-3
149944,5-3
149945,5-3
149946,5-3
149947,5-3
149948,5-3
149949,5-3
149950,5-3
149951,5-3
149952,5-3
149953,5-3
149954,5-3
149955,5-3
149956,5-3
149957,5-3
149958,5-3
149959,5-3
149960,5-3
149961,5-3
149962,5-3
149963,5-3
149964,5-3
149965,5-3
149966,5-3
149967,5-3
149968,5-3
149969,5-3
149970,5-3
149971,5-3
149972,5-3
149973,5-3
149974,5-3
149975,5-3
149976,5-3
149977,5-3
149978,5-3
149979,5-3
149980,5-3
149981,5-3
149982,5-3
149983,5-3
149984,5-3
149985,5-3
149986,5-3
149987,5-3
149988,5-3
149989,5-3
149990,5-3
149991,5-3
149992,5-3
149993,5-3
149994,5-3
149995,5-3
149996,5-3
149997,5-3
149998,5-3
149999,5-3
150000,5-3
150001,5-3
150002,5-3
150003,5-3
150004,5-3
150005,5-3
150006,5-3
150007,5-3
150008,5-3
150009,5-3
150010,5-3
150011,5-3
150012,5-3
150013,5-3
150014,5-3
150015,5-3
150016,5-3
150017,5-3
150018,5-3
150019,5-3
150020,5-3
150021,5-3
150022,5-3
150023,5-3
150024,5-3
150025,5-3
150026,5-3
150027,5-3
150028,5-3
150029,5-3
150030,5-3
150031,5-3
150032,5-3
150033,5-3
150034,5-3
150035,5-3
150036,5-3
150037,5-3
150038,5-3
150039,5-3
150040,5-3
150041,5-3
150042,5-3
150043,5-3
150044,5-3
150045,5-3
150046,5-3
150047,5-3
150048,5-3
150049,5-3
150050,5-3
150051,5-3
150052,5-3
150053,5-3
150054,5-3
150055,5-3
150056,5-3
150057,5-3
150058,5-3
150059,5-3
150060,5-3
150061,5-3
150062,5-3
150063,5-3
150064,5-3
150065,5-3
150066,5-3
150067,5-3
150068,5-3
150069,5-3
150070,5-3
150071,5-3
150072,5-3
150073,5-3
150074,5-3
150075,5-3
150076,5-3
150077,5-3
150078,5-3
150079,5-3
150080,5-3
150081,5-3
150082,5-3
150083,5-3
150084,5-3
150085,5-3
150086,5-3
150087,5-3
150088,5-3
150089,5-3
150090,5-3
150091,5-3
150092,5-3
150093,5-3
150094,5-3
150095,5-3
150096,5-3
150097,5-3
150098,5-3
150099,5-3
150100,5-3
150101,5-3
150102,5-3
150103,5-3
150104,5-3
150105,5-3
150106,5-3
150107,5-3
150108,5-3
150109,5-3
150110,5-3
150111,5-3
150112,5-3
150113,5-3
150114,5-3
150115,5-3
150116,5-3
150117,5-3
150118,5-3
150119,5-3
150120,5-3
150121,5-3
150122,5-3
150123,5-3
150124,5-3
150125,5-3
150126,5-3
150127,5-3
150128,5-3
150129,5-3
150130,5-3
150131,5-3
150132,5-3
150133,5-3
150134,5-3
150135,5-3
150136,5-3
150137,5-3
150138,5-3
150139,5-3
150140,5-3
150141,5-3
150142,5-3
150143,5-3
150144,5-3
150145,5-3
150146,5-3
150147,5-3
150148,5-3
150149,5-3
150150,5-3
150151,5-3
150152,5-3
150153,5-3
150154,5-3
150155,5-3
150156,5-3
150157,5-3
150158,5-3
150159,5-3
150160,5-3
150161,5-3
150162,5-3
150163,5-3
150164,5-3
