frame,score
0,
100,
200,6-11
300,6-11
400,6-11
500,6-11
600,6-11
700,6-11
800,6-11
900,6-11
1000,6-11
1100,6-11
1200,6-11
1300,6-11
1400,6-11
1500,
1600,6-11
1700,6-11
1800,6-11
1900,6-11
2000,6-11
2100,6-11
2200,6-0
2300,
2400,
2500,
2600,
2700,
2800,
2900,
3000,
3100,
3200,
3300,
3400,
3500,
3600,0-0
3700,0-0
3800,0-0
3900,0-0
4000,0-0
4100,0-0
4200,0-0
4300,0-0
4400,0-0
4500,1-0
4600,1-0
4700,1-0
4800,1-0
4900,
5000,1-0
5100,1-0
5200,1-0
5300,1-0
5400,1-0
5500,1-0
5600,1-0
5700,2-0
5800,2-0
5900,2-0
6000,2-0
6100,2-0
6200,2-0
6300,2-0
6400,2-0
6500,2-0
6600,2-0
6700,2-0
6800,2-0
6900,2-0
7000,2-0
7100,2-0
7200,2-0
7300,
7400,2-1
7500,
7600,
7700,
7800,2-1
7900,
8000,2-1
8100,2-1
8200,
8300,2-1
8400,
8500,2-1
8600,
8700,2-2
8800,2-2
8900,2-2
9000,2-2
9100,2-2
9200,2-2
9300,2-2
9400,2-2
9500,2-2
9600,2-2
9700,2-2
9800,2-2
9900,2-2
10000,2-2
10100,2-2
10200,2-3
10300,2-3
10400,2-3
10500,2-3
10600,2-3
10700,2-3
10800,2-3
10900,2-3
11000,2-3
11100,2-3
11200,2-3
11300,2-3
11400,3-3
11500,3-3
11600,3-3
11700,3-3
11800,3-3
11900,3-3
12000,3-3
12100,3-3
12200,3-3
12300,3-3
12400,3-3
12500,3-3
12600,3-3
12700,3-3
12800,3-3
12900,3-3
13000,3-3
13100,3-3
13200,3-3
13300,3-3
13400,3-3
13500,3-3
13600,3-3
13700,3-3
13800,4-3
13900,4-3
14000,4-3
14100,4-3
14200,4-3
14300,4-3
14400,4-3
14500,4-3
14600,4-3
14700,5-3
14800,5-3
14900,5-3
15000,5-3
15100,5-3
15200,5-3
15300,5-3
15400,5-3
15500,5-3
15600,5-3
15700,5-3
15800,5-3
15900,5-4
16000,5-4
16100,5-4
16200,5-4
16300,5-4
16400,5-4
16500,5-4
16600,5-4
16700,5-4
16800,5-4
16900,5-5
17000,5-5
17100,5-5
17200,5-5
17300,5-5
17400,5-5
17500,5-5
17600,5-5
17700,5-5
17800,5-5
17900,5-5
18000,5-5
18100,6-5
18200,6-5
18300,6-5
18400,6-5
18500,6-5
18600,6-5
18700,6-5
18800,6-5
18900,6-5
19000,6-5
19100,6-5
19200,6-5
19300,6-6
19400,6-6
19500,6-6
19600,6-6
19700,6-6
19800,6-6
19900,6-6
20000,6-6
20100,6-6
20200,6-6
20300,6-6
20400,6-6
20500,6-6
20600,6-6
20700,6-6
20800,6-6
20900,6-6
21000,6-6
21100,6-6
21200,6-6
21300,6-6
21400,6-6
21500,6-6
21600,6-6
21700,6-6
21800,6-6
21900,6-6
22000,6-6
22100,6-6
22200,6-6
22300,7-6
22400,7-6
22500,7-6
22600,7-6
22700,7-6
22800,7-6
22900,7-6
23000,7-6
23100,7-6
23200,7-6
23300,7-6
23400,7-6
23500,7-6
23600,7-6
23700,7-6
23800,7-6
23900,7-6
24000,7-6
24100,7-6
24200,7-6
24300,7-6
24400,7-6
24500,7-6
24600,7-6
24700,7-6
24800,8-6
24900,8-6
25000,8-6
25100,8-6
25200,8-6
25300,8-6
25400,8-6
25500,8-6
25600,8-6
25700,8-6
25800,8-6
25900,8-6
26000,8-6
26100,8-6
26200,8-6
26300,8-6
26400,8-7
26500,8-7
26600,8-7
26700,8-7
26800,8-7
26900,8-7
27000,8-7
27100,8-7
27200,8-7
27300,8-7
27400,8-7
27500,8-7
27600,8-7
27700,8-8
27800,8-8
27900,8-8
28000,8-8
28100,8-8
28200,8-8
28300,8-8
28400,8-8
28500,8-8
28600,8-8
28700,8-8
28800,8-8
28900,8-8
29000,8-8
29100,8-8
29200,9-8
29300,9-8
29400,9-8
29500,9-8
29600,9-8
29700,9-8
29800,9-8
29900,9-8
30000,9-8
30100,9-8
30200,9-8
30300,9-8
30400,9-8
30500,9-8
30600,9-8
30700,9-8
30800,9-8
30900,9-8
31000,9-0
31100,9-9
31200,9-9
31300,9-9
31400,9-9
31500,9-9
31600,9-9
31700,9-9
31800,9-9
31900,9-9
32000,9-9
32100,9-9
32200,9-9
32300,9-9
32400,9-9
32500,9-9
32600,9-9
32700,9-9
32800,9-9
32900,9-9
33000,9-9
33100,
33200,
33300,9-10
33400,
33500,9-10
33600,
33700,
33800,
33900,9-10
34000,
34100,9-10
34200,9-10
34300,
34400,9-10
34500,
34600,9-11
34700,9-11
34800,
34900,9-11
35000,9-11
35100,9-11
35200,9-11
35300,9-11
35400,9-11
35500,9-11
35600,9-11
35700,
35800,9-11
35900,9-11
36000,9-11
36100,9-11
36200,9-11
36300,9-11
36400,9-11
36500,9-11
36600,9-11
36700,9-11
36800,9-11
36900,
37000,9-11
37100,9-11
37200,
37300,9-11
37400,9-11
37500,9-11
37600,9-11
37700,
37800,
37900,
38000,
38100,
38200,
38300,
38400,
38500,
38600,
38700,0-0
38800,0-0
38900,0-0
39000,0-0
39100,0-0
39200,0-0
39300,0-0
39400,0-1
39500,0-1
39600,
39700,
39800,
39900,0-1
40000,0-1
40100,0-1
40200,
40300,
40400,0-1
40500,
40600,
40700,
40800,1-1
40900,1-1
41000,1-1
41100,
41200,1-1
41300,1-1
41400,1-1
41500,1-1
41600,1-17
41700,1-1
41800,1-1
41900,1-1
42000,1-1
42100,1-17
42200,2-1
42300,2-1
42400,
42500,
42600,
42700,
42800,
42900,
43000,2-1
43100,2-1
43200,2-1
43300,2-1
43400,2-1
43500,2-1
43600,2-1
43700,3-1
43800,3-1
43900,3-1
44000,3-1
44100,
44200,3-1
44300,3-1
44400,3-1
44500,3-1
44600,
44700,3-1
44800,3-1
44900,3-1
45000,3-1
45100,3-1
45200,3-1
45300,4-1
45400,4-1
45500,4-1
45600,4-1
45700,4-1
45800,4-1
45900,4-1
46000,4-1
46100,
46200,4-1
46300,4-1
46400,
46500,4-1
46600,4-1
46700,4-2
46800,4-2
46900,4-2
47000,4-2
47100,4-2
47200,4-2
47300,4-2
47400,4-2
47500,4-2
47600,4-2
47700,4-2
47800,4-2
47900,4-2
48000,4-2
48100,4-2
48200,4-2
48300,4-2
48400,4-2
48500,4-2
48600,4-2
48700,4-2
48800,4-2
48900,4-2
49000,4-2
49100,4-2
49200,4-2
49300,4-2
49400,5-2
49500,5-2
49600,5-2
49700,5-2
49800,5-2
49900,5-2
50000,5-2
50100,5-2
50200,5-2
50300,5-2
50400,5-2
50500,5-2
50600,5-2
50700,6-2
50800,6-2
50900,6-2
51000,6-2
51100,6-2
51200,6-2
51300,6-2
51400,6-2
51500,6-2
51600,6-2
51700,6-2
51800,6-2
51900,6-2
52000,6-2
52100,6-2
52200,6-2
52300,7-2
52400,7-2
52500,7-2
52600,7-2
52700,7-2
52800,7-2
52900,7-2
53000,7-2
53100,7-2
53200,7-2
53300,7-2
53400,7-2
53500,8-2
53600,8-2
53700,8-2
53800,8-2
53900,8-2
54000,8-2
54100,8-2
54200,8-2
54300,8-2
54400,8-2
54500,8-2
54600,8-2
54700,8-2
54800,8-2
54900,8-2
55000,8-2
55100,9-2
55200,9-2
55300,9-2
55400,9-2
55500,9-2
55600,9-2
55700,9-2
55800,9-2
55900,9-2
56000,9-2
56100,9-3
56200,9-3
56300,9-3
56400,9-3
56500,9-3
56600,9-3
56700,9-3
56800,9-3
56900,9-3
57000,9-3
57100,9-3
57200,9-3
57300,9-3
57400,9-3
57500,9-3
57600,9-3
57700,9-3
57800,9-3
57900,9-3
58000,9-3
58100,9-3
58200,9-3
58300,9-3
58400,9-3
58500,9-3
58600,9-3
58700,10-3
58800,10-3
58900,10-3
59000,10-3
59100,10-3
59200,10-3
59300,10-3
59400,10-3
59500,10-3
59600,10-3
59700,10-3
59800,10-3
59900,10-3
60000,10-4
60100,10-4
60200,10-4
60300,10-4
60400,10-4
60500,10-4
60600,10-4
60700,10-4
60800,10-4
60900,10-4
61000,10-4
61100,10-4
61200,10-4
61300,10-4
61400,10-4
61500,10-5
61600,10-5
61700,10-5
61800,10-5
61900,10-5
62000,10-5
62100,10-5
62200,10-5
62300,10-5
62400,10-5
62500,10-5
62600,10-5
62700,10-5
62800,10-5
62900,10-5
63000,10-5
63100,10-5
63200,10-5
63300,10-5
63400,10-5
63500,10-6
63600,10-6
63700,10-6
63800,10-6
63900,10-6
64000,10-6
64100,10-6
64200,10-6
64300,10-6
64400,10-6
64500,10-6
64600,10-6
64700,10-7
64800,10-7
64900,10-7
65000,10-7
65100,10-7
65200,10-7
65300,10-7
65400,10-7
65500,10-7
65600,10-7
65700,10-7
65800,10-7
65900,10-8
66000,10-8
66100,10-8
66200,10-8
66300,10-8
66400,10-8
66500,10-8
66600,10-8
66700,10-8
66800,10-8
66900,10-8
67000,10-8
67100,10-8
67200,10-8
67300,10-8
67400,10-8
67500,10-8
67600,10-8
67700,10-8
67800,10-8
67900,10-8
68000,10-8
68100,10-8
68200,10-8
68300,10-8
68400,10-8
68500,10-8
68600,10-8
68700,10-8
68800,10-8
68900,10-9
69000,10-9
69100,10-9
69200,10-9
69300,10-9
69400,10-9
69500,10-9
69600,10-9
69700,10-9
69800,10-9
69900,10-9
70000,10-9
70100,10-9
70200,10-10
70300,10-10
70400,
70500,10-10
70600,10-10
70700,
70800,10-10
70900,10-10
71000,
71100,
71200,10-10
71300,
71400,
71500,10-10
71600,10-10
71700,10-10
71800,10-10
71900,
72000,10-10
72100,10-11
72200,10-11
72300,10-11
72400,10-11
72500,
72600,10-11
72700,10-11
72800,10-11
72900,10-11
73000,10-11
73100,10-11
73200,10-11
73300,10-11
73400,10-11
73500,10-12
73600,10-12
73700,10-12
73800,10-12
73900,10-12
74000,10-12
74100,10-12
